player_name,nationality,goals_scored,assists_provided,dribbles_per_90,interceptions_per_90,tackles_per_90,total_duels_won_per_90,save_percentage,clean_sheets
Aaron Long,USA,,,,,,,,
Aaron Mooy,Australia,0.0,0.0,0.75,0.5,2.25,4.0,,
Aaron Ramsdale,England,,,,,,,,
Aaron Ramsey,Wales,0.0,0.0,2.36,0.0,0.67,2.36,,
Abde Ezzalzouli,Morocco ,0.0,0.0,,,,,,
Abdelhamid Sabiri,Morocco ,1.0,0.0,1.5,2.5,1.5,4.0,,
Abdelkarim Hassan,Qatar,,,,,,,,
Abderrazak Hamdallah,Morocco ,0.0,0.0,4.22,0.0,1.41,,,
Abdou Diallo,Senegal,0.0,0.0,0.0,0.27,0.54,4.34,,
Abdul-Rahman Baba,Ghana,0.0,0.0,1.98,0.49,2.47,6.93,,
Abdulaziz Hatem,Qatar,0.0,0.0,0.0,0.46,0.46,1.84,,
Abdulelah Al-Amri,Saudi Arabia,0.0,0.0,0.0,1.98,0.49,,,
Abdulellah Al-Malki,Saudi Arabia,0.0,0.0,0.0,1.54,2.06,4.11,,
Abdullah Madu,Saudi Arabia,0.0,0.0,0.0,2.05,2.05,6.14,,
Abdullah Otayf,Saudi Arabia,,,,,,,,
Abdulrahman Al-Aboud,Saudi Arabia,0.0,0.0,0.66,0.0,,,,
Abolfazi Jalali,Iran,0.0,0.0,1.0,0.0,0.0,0.0,,
Achraf Dari,Morocco ,1.0,0.0,0.0,2.89,0.48,5.78,,
Achraf Hakimi,Morocco ,0.0,1.0,1.56,1.28,3.84,7.39,,
Adam Davies,Wales,,,,,,,,
Adrien Rabiot,France,1.0,1.0,0.75,1.86,2.24,8.95,,
Agustin Canobbio,Uruguay,,,,,,,,
Ahmad Nourollahi,Iran,0.0,0.0,0.8,2.4,2.0,3.2,,
Ahmed Alaaeldin,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,,
Ahmed Reda Tagnaouti,Morocco ,,,,,,,0.0,0.0
Aissa Laidouni,Tunisia,0.0,1.0,1.1,1.1,1.1,1.47,,
Ajdin Hrustic,Australia,0.0,0.0,6.1,1.53,1.53,6.1,,
Akram Afif,Qatar,0.0,0.0,1.67,0.0,0.0,3.33,,
Alan Franco,Ecuador ,,,,,,,,
Alejandro Balde,Spain,0.0,0.0,0.0,0.0,4.35,5.08,,
Alejandro Gomez,Argentina,0.0,0.0,0.83,0.83,1.65,8.26,,
Aleksandr Mitrovic,Serbia,2.0,0.0,0.34,0.0,0.34,4.45,,
Alex Sandro,Brazil,0.0,0.0,0.95,1.42,3.79,7.11,,
Alex Telles,Brazil,0.0,0.0,0.0,0.0,3.1,6.21,,
Alexander Bah,Denmark,0.0,0.0,0.5,4.06,,,,
Alexander Djiku,Ghana,0.0,0.0,0.0,0.93,0.93,6.5,,
Alexander Dominguez,Ecuador ,,,,,,,,
Alexis Mac Allister,Argentina,1.0,1.0,0.97,0.49,1.46,5.85,,
Alexis Vega,Mexico ,0.0,0.0,1.38,0.46,0.0,4.13,,
Alfred Gomis,Senegal,,,,,,,,
Alfredo Talavera,Mexico ,,,,,,,,
Ali Abdi,Tunisia,,,,,,,,
Ali Al-Bulaihi,Saudi Arabia,0.0,0.0,0.0,1.24,1.66,4.56,,
Ali Al-Hassan,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,,,
Ali Assadalla,Qatar,,,,,,,,
Ali Gholizadeh,Iran,0.0,1.0,3.18,1.36,0.0,1.82,,
Ali Karimi,Iran,0.0,0.0,0.0,2.76,2.76,9.19,,
Ali Maaloul,Tunisia,0.0,0.0,0.0,0.0,1.0,1.0,,
Alidu Seidu,Ghana,0.0,0.0,2.31,0.0,3.46,9.81,,
Alireza Beiranvand,Iran,,,,,,,,
Alireza Jahanbakhsh,Iran,0.0,0.0,1.53,1.53,1.53,3.05,,
Alisson,Brazil,,,,,,,,
Alistair Johnson,Canada,0.0,0.0,0.33,0.67,1.33,4.67,,
Almoez Ali,Qatar,0.0,0.0,1.19,0.4,0.4,3.19,,
Alphonse Areola,France,,,,,,,,
Alphonso Davies,Canada,1.0,0.0,6.0,1.0,0.67,6.67,,
Alvaro Morata,Spain,3.0,1.0,1.48,0.0,0.49,2.95,,
Alvaro Zamora,Costa Rica,,,,,,,,
Amir Absedzadeh,Iran,,,,,,,,
Anass Zaroury,Morocco ,0.0,0.0,,,,,,
Andre Ayew,Ghana,1.0,0.0,0.45,0.0,1.79,7.61,,
Andre Onana,Cameroon,,,,,,,,
Andre Silva,Portugal,0.0,0.0,0.0,0.0,0.0,7.2,,
Andre-Frank Zambo Anguissa,Cameroon,0.0,0.0,1.38,1.72,1.38,6.55,,
Andreas Christensen,Denmark,1.0,0.0,0.0,1.33,1.67,6.0,,
Andreas Cornelius,Denmark,0.0,0.0,0.98,0.0,0.0,,,
Andreas Skov Olsen,Denmark,0.0,0.0,1.34,0.0,0.0,2.01,,
Andrej Kramaric,Croatia,2.0,0.0,1.31,0.0,0.56,2.06,,
Andres Guardado,Mexico ,0.0,0.0,0.0,0.0,8.57,8.57,,
Andrew Redmayne,Australia,,,,,,,,
Andries Noppert,Netherlands ,,,,,,,,
Andrija Zivkovic,Serbia,0.0,2.0,0.42,1.27,2.11,5.5,,
Angel Correa,Argentina,0.0,0.0,0.0,0.0,,,,
Angel Di Maria,Argentina,1.0,1.0,6.83,0.31,0.93,7.14,,
Angel Mena,Ecuador ,,,,,,,,
Angelo Preciado,Ecuador ,0.0,1.0,0.34,1.7,2.38,5.1,,
Anis Ben Slimane,Tunisia,0.0,0.0,0.6,0.6,1.8,9.0,,
Ansu Fati,Spain,0.0,0.0,4.09,0.0,2.05,6.14,,
Ante Budimir,Croatia,0.0,0.0,0.0,0.0,1.67,,,
Anthony Contreras,Costa Rica,0.0,0.0,0.0,0.71,3.57,11.43,,
Anthony Hernandez,Costa Rica,,,,,,,,
Antoine Griezmann,France,0.0,3.0,1.51,1.34,2.34,6.19,,
Antoine Semenyo,Ghana,0.0,0.0,0.0,0.0,0.0,10.0,,
